xà_rông|n	sarongs_nns;
đảng_bộ|n	party_nn;
công_chúa_tiên|n	princesses_nns;
kakai|n	kakai_nns;
thờ_tự|v	having_vbg;
quốc|n	quoc_nn;
gifu|n	gifu_nn;
địa_mạo|n	geomorphology_nn;
thansur|n	thansur_nn;
angkor|n	angkor_nn;
viejo|n	viejo_nn;
ptic.phutho@gmail.com|nb	ptic.phutho@gmail.com_nn;
đại_nội|n	stage_nn;
wallonie|nb	wallonie_nn;
cvg|n	cvg_nn;
tinh_dầu|n	oil_nn;
nemo|n	nemo_nn;
vinpearl|n	vinpearl_nn;
vinpearl|n	resort_nn;
viêng|n	vieng_nn;
cung_thánh|n	basilica_nn;
sukhawadee|n	sukhawadee_nn;
lạc_sơn|n	leshan_nn;
elysee|n	élysées_nns;
skull|n	skull_nn;
cecilia|n	piccioni_nns;
chamonix|n	chamonix_nn;
xian|n	xian_nn;
tx.phú_thọ|n	phutho town_nn;
paro|n	paro_nn;
cinema|n	cinema_nn;
đừng|v	do_vbp;
avignon|n	avignon_nn;
p.châu|n	p.chau_nn;
phìn|n	phin_nn;
tat|n	tat_nn;
siem|n	siem_nn;
danh_thắng|n	ecology_nn;
danh_thắng|n	landscape_nn;
đoòng|n	doong_nn;
buffet|n	buffet_nn;
kaleidoscope|n	kaleidoscope_nn;
bắc_kạn|n	baccan_nn;
mộc_bản|n	woodblocks_nns;
khách_sạn|n	hotels_nns;
titlis|n	titlis_nns;
worldticket|nb	worldticket_nn;
vietc|n	vietc_nn;
hotline|n	hotline_nn;
nhà_rường|n	houses_nns;
e-commerce|n	e-commerce_nn;
phú|n	phu_nn;
chẹm|n	chem_nn;
cheongwadae|n	cheongwadae_nn;
baht|nu	baht/piece_nn;
suvarnabhumi|n	suvarnabhumi_nn;
terms|n	terms_nns;
roca|n	roca_nn;
kinderworld|nb	kinderworld_nn;
malacca|n	malacca_nn;
màu|n	colours_nns;
chhu|n	chhu_nn;
pattaya|n	pattaya_nn;
debay|n	cellars_nns;
jata|n	jata_nn;
jewelry|n	jewelry_nn;
tham_quan_động|v	visit_vb;
xel|n	xel_nn;
stealing|v	stealing_vbg;
thimphu|n	thimphu_nn;
vinadiving|n	vinadiving_nn;
cát|n	cat_nn;
vonsild|n	vonsild_nn;
cá_lăng|n	hemibagrus_nn;
nống|n	nong_nn;
vietravel|n	vietravel_nn;
bánh_trung_thu|n	moon_nn;
yongduam|n	yongduam_nn;
km²|nu	sq.km_nn;
đồng|n	dong_nn;
pahatharata|n	pahatharata_nn;
vinpearland|nb	vinpearland_nn;
vietravel|nb	vietravel_nn;
bánh_chưng|n	cake_nn;
sforza|n	sforza_nn;
kịch_hát|n	opera_nn;
amurskie|n	amurskie_nn;
ngoác|v	flying_vbg;
nhà_sàn|n	house_nn;
hoon|n	hoon_nn;
land|n	land_nn;
khánh_tiết|n	festival_nn;
nhân_sâm|n	ginseng_nn;
halleluya|n	halleluya_nn;
halleluya|n	group_nn;
